DBN,Cohort,Total Enrolled,Total Present,Average Attendance
01M015,2006,46255.0,41647.0,0.9003783374770296
01M015,2007,46543.0,41760.0,0.8972348151172035
01M015,2008,44377.0,39235.0,0.8841291660094193
01M019,2006,57738.0,52613.0,0.9112369669888115
01M019,2007,61613.0,56136.0,0.9111064223459335
01M019,2008,59341.0,53638.0,0.9038944406059891
01M020,2006,121670.0,113605.0,0.9337141448179502
01M020,2007,111589.0,104220.0,0.9339630250293488
01M020,2008,107021.0,99343.0,0.928257071042132
01M034,2006,74926.0,66886.0,0.8926941248698717
01M034,2007,77996.0,69155.0,0.8866480332324734
01M034,2008,76245.0,68326.0,0.8961374516361729
01M056,2006,2.0,2.0,1.0
01M063,2006,41264.0,36895.0,0.8941207832493214
01M063,2007,37350.0,33704.0,0.9023828647925033
01M063,2008,36401.0,32767.0,0.9001675778137963
01M064,2006,53458.0,48455.0,0.9064125107561076
01M064,2007,54595.0,49787.0,0.9119333272277681
01M064,2008,54962.0,49839.0,0.9067901459189985
01M110,2006,86767.0,80628.0,0.9292472944783154
01M110,2007,88629.0,82734.0,0.9334867819788105
01M110,2008,84930.0,79494.0,0.9359943482868245
01M134,2006,64595.0,58830.0,0.9107516061614676
01M134,2007,68207.0,62063.0,0.9099212690779539
01M134,2008,70299.0,64442.0,0.9166844478584333
01M137,2006,48240.0,43686.0,0.9055970149253731
01M137,2007,43292.0,39219.0,0.9059179525085466
01M137,2008,39835.0,35863.0,0.9002886908497553
01M140,2006,90744.0,81998.0,0.9036189720532487
01M140,2007,82667.0,75088.0,0.9083189180688788
01M140,2008,76774.0,69299.0,0.902636309167166
01M142,2006,81701.0,74371.0,0.9102826158798546
01M142,2007,82831.0,75146.0,0.9072207265395806
01M142,2008,81151.0,74130.0,0.9134822737859053
01M184,2006,101973.0,100550.0,0.9860453257234758
01M184,2007,106429.0,105386.0,0.9902000394629283
01M184,2008,110612.0,109122.0,0.9865294904711966
01M188,2006,77451.0,69194.0,0.8933906599010988
01M188,2007,75743.0,67071.0,0.8855075716567867
01M188,2008,73003.0,64342.0,0.881361039957262
01M292,2006,79612.0,66237.0,0.8319976887906346
01M292,2007,92534.0,72869.0,0.7874835195711847
01M292,2008,84740.0,69362.0,0.81852725985367
01M301,2006,38299.0,35035.0,0.914775842711298
01M301,2007,38955.0,34755.0,0.8921832884097035
01M301,2008,42182.0,37743.0,0.8947655398037078
01M315,2006,30938.0,28561.0,0.9231689184821256
01M315,2007,30088.0,27893.0,0.9270473278383409
01M315,2008,31965.0,29454.0,0.921445330830596
01M332,2006,47343.0,43392.0,0.9165452125974273
01M332,2007,51574.0,46717.0,0.9058246403226432
01M332,2008,45720.0,40620.0,0.8884514435695539
01M345,2006,52458.0,49523.0,0.9440504784780205
01M345,2007,51656.0,48573.0,0.9403167105466935
01M345,2008,52747.0,48376.0,0.9171327279276547
01M361,2006,45344.0,41454.0,0.914211362032463
01M361,2007,47698.0,44011.0,0.9227011614742756
01M361,2008,46682.0,42972.0,0.9205261128486355
01M363,2006,48809.0,45303.0,0.9281689852281342
01M363,2007,50272.0,46439.0,0.9237547740292807
01M363,2008,53639.0,50164.0,0.935215048751841
01M364,2006,58156.0,54377.0,0.9350196024485865
01M364,2007,60734.0,56656.0,0.932854743636184
01M364,2008,61674.0,57644.0,0.9346564192366313
01M378,2008,14585.0,13354.0,0.915598217346589
01M448,2006,89415.0,78536.0,0.8783313761673097
01M448,2007,100587.0,85328.0,0.8483004762046785
01M448,2008,97108.0,81620.0,0.8405074762120526
01M450,2006,98440.0,80129.0,0.8139882161722877
01M450,2007,100087.0,82536.0,0.8246425609719544
01M450,2008,96730.0,83164.0,0.8597539543057996
01M509,2006,110204.0,89578.0,0.8128380095096367
01M509,2007,93139.0,74704.0,0.8020700243721749
